순번,결함유형,점검일자,광역자치단체,기초자치단체,체육시설,시설물명,주소,건물구분,위치구분,점검항목,지적사항,이미지URL,이미지파일이름,이미지확장자,가로해상도,세로해상도
207,승강기,2025-07-14,경기도,부천시,체육관,부천체육관,경기도 부천시 석천로 293 (중동),건물 내외부,승강기 등,"정기검사, 안전검사 여부 및 안전검사필증 부착 여부 (엘리베이터, 에스컬레이터, 기계식  주차시설 등)",25하-1(조치필요) 지하 1층 장애인 엘리베이터 안전검사필증 미교체,http://openapi.kspo.or.kr/web/ai/,207_323F6F8C0D12AB7B2DFD867C2DB2AE15.jpg,jpg,200,266
208,승강기,2025-07-16,서울특별시,관악구,체육관,신림체육센터,서울특별시 관악구 난곡로58길 13 (신림동),건물 내외부,승강기 등,"정기검사, 안전검사 여부 및 안전검사필증 부착 여부 (엘리베이터, 에스컬레이터, 기계식  주차시설 등)",25하-2(조치필요) 1층 엘리베이터 안전검사필증 미교체,http://openapi.kspo.or.kr/web/ai/,208_6B80D78671BED84747CCCDF41CC61D06.jpg,jpg,219,293
209,승강기,2025-09-11,서울특별시,관악구,수영장,관악청소년센터수영장,서울특별시 관악구 신림로23길 17 (신림동),건물 내외부,승강기 등,"정기검사, 안전검사 여부 및 안전검사필증 부착 여부 (엘리베이터, 에스컬레이터, 기계식  주차시설 등)",25하-2 (조치필요) 장애인용 리프드승강기 검사기간 초과,http://openapi.kspo.or.kr/web/ai/,209_29E227A9259E36833ECBB1624ED0BB7E.jpg,jpg,364,273
210,안전시설(방지망),2025-09-08,전북특별자치도,진안군,수영장,진안군국민체육센터(구: 진안 국민체육센터),전북특별자치도 진안군 진안읍 우화2길 47-9,건물주변,절개지 / 낙석 위험지역,안전시설(방지망 등) 설치 여부,25상-6(조치필요) 좌측면 외부 절개지 안전시설 미설치,http://openapi.kspo.or.kr/web/ai/,210_F560DB50AE1196924EAA203B74F8F3CD.jpg,jpg,324,249
211,안전시설(방지망),2025-09-02,대구광역시,북구,사격장,대구국제사격장,대구광역시 북구 문주길 170 (금호동),건물주변,절개지 / 낙석 위험지역,안전시설(방지망 등) 설치 여부,25상-6(조치필요) 클레이사격장 옆 절개지 낙석위험 안전시설 미설치,http://openapi.kspo.or.kr/web/ai/,211_7F5D4CC2FC9467B6E760A6BC0A60A077.jpg,jpg,329,232
212,안전시설(방지망),2025-07-30,전라남도,장흥군,체육관,장흥실내체육관,전라남도 장흥군 장흥읍 읍성로 5-28,건물주변,절개지 / 낙석 위험지역,안전시설(방지망 등) 설치 여부,25상-6(조치필요) 냑석 위험지역 방지망 설치 미흡 건물 후측,http://openapi.kspo.or.kr/web/ai/,212_4D847DD94C7613352CFB58A2622B0531.jpg,jpg,330,248
213,안전시설(방지망),2025-05-27,전라남도,장흥군,체육관,장흥실내체육관,전라남도 장흥군 장흥읍 읍성로 5-28,건물주변,절개지 / 낙석 위험지역,안전시설(방지망 등) 설치 여부,25상-6(조치필요) 냑석 위험지역 방지망 설치 미흡 건물 후측,http://openapi.kspo.or.kr/web/ai/,213_9D831A3BACAC8C78E824DC94110167D0.jpg,jpg,211,282
214,안전시설(방지망),2025-06-24,전북특별자치도,진안군,수영장,진안군국민체육센터(구: 진안 국민체육센터),전북특별자치도 진안군 진안읍 우화2길 47-9,건물주변,절개지 / 낙석 위험지역,안전시설(방지망 등) 설치 여부,25상-7(조치필요) 좌측면 외부 절개지 안전시설 미설치,http://openapi.kspo.or.kr/web/ai/,214_FC54AECC0372F8AAC746BD71D6E30662.jpg,jpg,213,284
215,안전시설(방지망),2025-05-20,대구광역시,북구,사격장,대구국제사격장,대구광역시 북구 문주길 170 (금호동),건물주변,절개지 / 낙석 위험지역,안전시설(방지망 등) 설치 여부,25상-6(조치필요) 클레이사격장 옆 절개지 낙석위험 안전시설 미설치,http://openapi.kspo.or.kr/web/ai/,215_57CD734C227FBD203376555FD8FB7DD9.jpg,jpg,207,276
216,안전시설(방지망),2025-09-16,서울특별시,성북구,체육관,성북구민체육관,서울특별시 성북구 화랑로13길 144 (하월곡동),건물주변,절개지 / 낙석 위험지역,안전시설(방지망 등) 설치 여부,25하-5(조치필요) 낙석 위험 지역 낙석 방지망 미설치(토지 소유자와 협의필요),http://openapi.kspo.or.kr/web/ai/,216_30047AA08CFF62933CC489CB0482467A.jpg,jpg,209,278
217,옹벽의균열,2025-06-25,경기도,김포시,육상경기장,김포시종합운동장,경기도 김포시 돌문로15번길 20 (사우동),건물주변,옹벽 / 노후축대,"옹벽의 균열 또는 파손, 배부름 현상",25상-2(조치필요) 외부 옹벽 균열(전반적),http://openapi.kspo.or.kr/web/ai/,217_85FD8DA13F362A0883742940F12E6812.jpg,jpg,331,248
218,옹벽의균열,2025-05-22,인천광역시,남동구,체육관,인천시청소년수련관체육관,인천광역시 남동구 장수로 42 (장수동),건물주변,옹벽 / 노후축대,"옹벽의 균열 또는 파손, 배부름 현상",25상-1(조치필요) 옥외 옹벽 균열(균열게이지부착),http://openapi.kspo.or.kr/web/ai/,218_CC4FCA19165F037901C179F20B694C13.jpg,jpg,330,248
219,옹벽의균열,2025-07-30,광주광역시,서구,기타시설,광주 올림픽기념국민생활관,광주광역시 서구 금화로 278(풍암동),건물주변,옹벽 / 노후축대,"옹벽의 균열 또는 파손, 배부름 현상",(주의관찰)지상 1층 2. 옹벽 경사균열,http://openapi.kspo.or.kr/web/ai/,219_64BDA211495124DF31F841A02DC8D24F.jpg,jpg,330,241
220,옹벽의균열,2025-06-25,충청북도,단양군,체육관,단양다목적체육관,충청북도 단양군 단양읍 별곡3로 19,건물주변,옹벽 / 노후축대,"옹벽의 균열 또는 파손, 배부름 현상",25상-4(조치필요) 옹벽 균열 및 파손,http://openapi.kspo.or.kr/web/ai/,220_69E94082516B55B35EB2624CECDFF206.jpg,jpg,213,285
221,옹벽의균열,2025-06-17,충청남도,홍성군,전천후게이트볼장,홍성전천후게이트볼장,충청남도 홍성군 홍성읍 홍덕서로 78,건물주변,옹벽 / 노후축대,"옹벽의 균열 또는 파손, 배부름 현상","25상-1 (조치필요) 옹벽 균열, 누수 및 백태 다수발생",http://openapi.kspo.or.kr/web/ai/,221_31309BDDC185DB50E41DB03F1778DCF6.jpg,jpg,359,270
222,옹벽의균열,2025-05-29,경기도,안산시,수영장,안산올림픽실내수영장,경기도 안산시 단원구 적금로 202 (고잔동),건물주변,옹벽 / 노후축대,"옹벽의 균열 또는 파손, 배부름 현상",25상-11(조치필요) 외부 옹벽 균열(현재 공사중으로 조사불가),http://openapi.kspo.or.kr/web/ai/,222_7DB256DB5FD55A7AAC05B111253DC06F.jpg,jpg,204,273
223,옹벽의균열,2025-06-12,경상남도,거제시,육상경기장,아주운동장,경상남도 거제시 아주로3길 55-1 (아주동),건물주변,옹벽 / 노후축대,"옹벽의 균열 또는 파손, 배부름 현상",25상-7(조치필요) 옹벽 균열,http://openapi.kspo.or.kr/web/ai/,223_89889ED4962E283BA4B6CBAC386BA560.png,png,433,264
224,옹벽의균열,2025-08-11,인천광역시,중구,수영장,도원수영장,인천광역시 중구 샛골로41번길 22 (도원동),건물주변,옹벽 / 노후축대,"옹벽의 균열 또는 파손, 배부름 현상",25하-15(조치필요) 건물 뒷편 주차장 옹벽 균열 다수,http://openapi.kspo.or.kr/web/ai/,224_5431DC5173277893C64C5EB66559B965.jpg,jpg,215,286
225,옹벽의균열,2025-09-24,경상남도,의령군,축구장,의령공설운동장,경상남도 의령군 의령읍 구룡로 245-4,건물주변,옹벽 / 노후축대,"옹벽의 균열 또는 파손, 배부름 현상","25하-1 (조치필요) 진입로 옹벽 균열, 도장박락, 열화 다수발생",http://openapi.kspo.or.kr/web/ai/,225_4D5EB4D1A68F3C82DCDE42F494634060.jpg,jpg,380,285
226,옹벽의균열,2025-09-18,경상북도,영주시,육상경기장,영주시민운동장,경상북도 영주시 가흥로 109 (가흥동),건물주변,옹벽 / 노후축대,"옹벽의 균열 또는 파손, 배부름 현상",25하-11(조치필요) 운동장 외부 조경방향 옹벽 균열 및 파손 다수,http://openapi.kspo.or.kr/web/ai/,226_974DD690F01D9586C69BA429D3C30B37.jpg,jpg,198,264
227,보수보강,2025-07-22,충청북도,제천시,육상경기장,제천종합운동장,충청북도 제천시 숭의로 101 (화산동),건물주변,옹벽 / 노후축대,"보수, 보강 등의 조치 상태 등",25상-5 (조치필요) 외부 출입문(1~10문) 상부 벽체 전도 위험,http://openapi.kspo.or.kr/web/ai/,227_8CABDD8C8521A2160F36697A02FB50A0.png,png,167,279
228,경사면,2025-07-28,경상남도,합천군,체육관,청덕체육관,경남 합천군 청덕면 두곡리 368-1,건물주변,비탈면,경사면 균열 또는 파손 및 수목의 기울어짐,25하-3(조치필요) 비탈면 토사유실 발생,http://openapi.kspo.or.kr/web/ai/,228_48846698EEE925C27A536860FB6CD6B3.jpg,jpg,370,278
229,부대시설,2025-05-19,전북특별자치도,임실군,체육관,임실군군민회관체육관,전라북도 임실군 임실읍 호국로 1703,건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",24하-1(조치필요)외부 화단 조적벽체 갈라짐,http://openapi.kspo.or.kr/web/ai/,229_1AC47A5E12CC49A97EF911EB3C85B4C1.jpg,jpg,138,108
230,부대시설,2025-06-25,경기도,김포시,육상경기장,김포시종합운동장,경기도 김포시 돌문로15번길 20 (사우동),건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",25상-9(조치필요) 2층 관람석 의자파손,http://openapi.kspo.or.kr/web/ai/,230_0100AE3A99FB603CA945D8EC11404BFB.jpg,jpg,330,248
231,부대시설,2025-05-29,경기도,안산시,수영장,안산올림픽실내수영장,경기도 안산시 단원구 적금로 202 (고잔동),건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",25상-10(조치필요) 외부 환기구 덮개 안전휀스 파손,http://openapi.kspo.or.kr/web/ai/,231_358951EC83B17A63A3A1DFAE334A9F38.jpg,jpg,331,248
232,부대시설,2025-08-05,충청남도,청양군,체육관,(취약시설)(취약시설)청양군문화체육센터,충청남도 청양군 청양읍 칠갑산로 221,건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",25상-12(조치필요) 외부 담장 균열 및 파손 다수 발생,http://openapi.kspo.or.kr/web/ai/,232_DB62B8B379F443B45B960593D446D237.jpg,jpg,331,248
233,부대시설,2025-08-26,경상남도,남해군,야구장,남해스포츠파크인조야구장,경상남도 남해군 서면 스포츠파크길 74,건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",25상-9(조치필요)  필드 난간 팬스 파손,http://openapi.kspo.or.kr/web/ai/,233_94C456DA2033A09F4E538A8D02412E9C.jpg,jpg,331,248
234,부대시설,2025-09-16,경상남도,함안군,체육관,군북3ㆍ1기념체육관,경상남도 함안군 군북면 함마대로 875,건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",25상-1 (조치필요) 우수드레인 배수 맨홀 미설치,http://openapi.kspo.or.kr/web/ai/,234_1E0A4EA5D31A698097AA66564191FD75.jpg,jpg,330,247
235,부대시설,2025-09-15,대전광역시,중구,야구장,한밭야구장,대전광역시 중구 대종로 373 (부사동),건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",24(상)(조치필요)1루측 관중석 조명탑 방호울 미설치,http://openapi.kspo.or.kr/web/ai/,235_921A64D21119A3D408A6EDE278A9E29B.jpg,jpg,330,261
236,부대시설,2025-08-04,강원특별자치도,춘천시,하키장,춘천 하키장,삼천동 83-2,건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태","25하-2(조치필요) 관람석 바닥 도장들뜸, 열화발생",http://openapi.kspo.or.kr/web/ai/,236_A0D105036AAC969F9787A2B7B903076D.jpg,jpg,367,275
237,부대시설,2025-08-07,경기도,파주시,체육관,(취약시설)파주시스포츠센터,경기도 파주시 탄현면 방촌로 1213-52,건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",25하-1(조치필요) 외부 환기구 상부 접근제한 울타리 미설치,http://openapi.kspo.or.kr/web/ai/,237_5C9B46D36D222CF260560BD0AE419F7C.jpg,jpg,370,278
238,부대시설,2025-07-15,경기도,의왕시,체육관,(취약시설)부곡다목적실내체육관,경기도 의왕시 부곡공원길 6 (월암동),건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",25하-1(조치필요) 우측 배수로 주변 바닥파손 발생,http://openapi.kspo.or.kr/web/ai/,238_224FFBA5104A9D2C909B5D4405828864.jpg,jpg,357,268
239,부대시설,2025-07-15,경기도,의왕시,체육관,(취약시설)부곡다목적실내체육관,경기도 의왕시 부곡공원길 6 (월암동),건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",25하-2(조치필요) 우측 비탈면 배수로 파손발생,http://openapi.kspo.or.kr/web/ai/,239_E94A329B840F5380EEEB89686713CFF8.jpg,jpg,368,276
240,부대시설,2025-08-07,경기도,파주시,수영장,(취약시설)파주시스포츠센터 수영장,경기도 파주시 탄현면 방촌로 1213-52,건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",25하-1(조치필요) 외부 환기구 상부 접근제한 울타리 미설치,http://openapi.kspo.or.kr/web/ai/,240_D6931C42F102C417546F3D49ECD3F2B3.jpg,jpg,387,290
241,부대시설,2025-09-10,경기도,화성시,전천후게이트볼장,송산게이트볼장,경기도 화성시 송산면 정도길 4,건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태","25하-4 (조치필요) 부대시설(벤치) 노후, 파손",http://openapi.kspo.or.kr/web/ai/,241_4F43FB26937C2C833F854CC71603CF9A.jpg,jpg,380,284
242,부대시설,2025-09-10,경기도,화성시,전천후게이트볼장,송산게이트볼장,경기도 화성시 송산면 정도길 4,건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태","25하-5 (조치필요) 게이트볼장 주변 공사폐기물, 쓰레기 등 적치",http://openapi.kspo.or.kr/web/ai/,242_F16667A7491A8F969EA09DAF2A0FF18A.jpg,jpg,370,277
243,부대시설,2025-09-12,경기도,김포시,육상경기장,김포시종합운동장,경기도 김포시 돌문로15번길 20 (사우동),건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",25상-9(조치필요) 2층 관람석 의자파손,http://openapi.kspo.or.kr/web/ai/,243_6ECBE09E7614A0D2EF86BB2119964CA5.png,png,429,262
244,부대시설,2025-09-18,경기도,파주시,체육관,(취약시설)금촌배드민턴장,금촌동378,건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",25하-2 (조치필요) 외부 빗물 선홈통 변형,http://openapi.kspo.or.kr/web/ai/,244_0828A76CA2B136AB352A20EBBA6127F1.jpg,jpg,364,272
245,부대시설,2025-09-18,경기도,파주시,체육관,(취약시설)금촌배드민턴장,금촌동378,건물주변,부대시설,"정문, 무대 시설, 파고라, 벤치, 담장 등 시설 결함 상태",25하-3 (조치필요) 외부 진입로 바닥 파손,http://openapi.kspo.or.kr/web/ai/,245_BA22111A55A9057F33A9916504D54024.jpg,jpg,363,273
246,통행로,2025-05-19,경기도,포천시,육상경기장,포천종합운동장,경기도 포천시 군내면 호국로 1518,건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25상-4(조치필요) 야외 바닥마감 아스콘 균열(4면),http://openapi.kspo.or.kr/web/ai/,246_0F5E49F248B8A208818B07E50D2D8471.jpg,jpg,330,247
247,통행로,2025-06-25,경기도,김포시,육상경기장,김포시종합운동장,경기도 김포시 돌문로15번길 20 (사우동),건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25상-1(조치필요) 외부 아스콘 망상균열(전반적),http://openapi.kspo.or.kr/web/ai/,247_A654C0C9D9528627133A2D6C45CC401B.jpg,jpg,330,248
248,통행로,2025-06-09,경상남도,사천시,체육관,삼천포체육관,경상남도 사천시 주공로 32-1 (용강동),건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25상-11(조치필요) 야외 아스콘균열,http://openapi.kspo.or.kr/web/ai/,248_AFA61D83E6734DF54C1D9C412D396402.jpg,jpg,330,248
249,통행로,2025-08-05,충청남도,청양군,체육관,(취약시설)(취약시설)청양군문화체육센터,충청남도 청양군 청양읍 칠갑산로 221,건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25상-13(조치필요) 정문 앞 통행로 바닥 균열,http://openapi.kspo.or.kr/web/ai/,249_E3CAEDFDDC4E57A5488800CBD63CB17E.jpg,jpg,330,248
250,통행로,2025-08-06,충청남도,청양군,체육관,(취약시설)(취약시설)청양군민체육관,충청남도 청양군 청양읍 충절로 1204,건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25상-13(조치필요) 외부 좌측면 통행로 바닥 균열 다수 발생,http://openapi.kspo.or.kr/web/ai/,250_5CE2B1D184F36F98E0C283A8CA96456A.jpg,jpg,333,248
251,통행로,2025-09-04,울산광역시,울주군,전천후게이트볼장,웅촌게이트볼장,울산광역시 울주군 웅촌면 웅촌로 378-1,건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25하-1(조치필요) 외부 통행로 식생 및 토사유실,http://openapi.kspo.or.kr/web/ai/,251_5502B9B945FCB8E7199EDDD226AFCF60.jpg,jpg,330,248
252,통행로,2025-09-11,전라남도,완도군,전천후게이트볼장,신지전천후게이트볼장,전라남도 완도군 신지면 신지로 567,건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25상-7 (조치필요) 외부 통행로(인도) 보도블럭 파손,http://openapi.kspo.or.kr/web/ai/,252_7AE8D79E4E9633CEB0C9CCE585F492F2.jpg,jpg,330,248
253,통행로,2025-09-09,전북특별자치도,장수군,테니스장,천천면 전천후 테니스장,전라북도 장수군 천천면 고금길 3,건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25상-4(조치필요) 외부 통행로 보도블럭 국부적 침하,http://openapi.kspo.or.kr/web/ai/,253_325E47445695AF6D2661C4772B8E8450.jpg,jpg,329,253
254,통행로,2025-09-16,경상남도,함안군,체육관,군북3ㆍ1기념체육관,경상남도 함안군 군북면 함마대로 875,건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25상-2 (조치필요) 우수 맨홀 위치불량으로 바닥 마감재(블럭) 침하발생,http://openapi.kspo.or.kr/web/ai/,254_C80B95E39E86AE702FFA7BCCFA1EE7DE.jpg,jpg,330,247
255,통행로,2025-08-26,경기도,김포시,체육관,김포시농어민문화체육센터,경기도 김포시 통진읍 율마로384번길 17,건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25상-4(조치필요) 아스팔트 균열 지상1층 차도 다수,http://openapi.kspo.or.kr/web/ai/,255_CDB8D7B02FC122EB91BE5909D4585632.jpg,jpg,330,240
256,통행로,2025-07-16,서울특별시,관악구,체육관,신림체육센터,서울특별시 관악구 난곡로58길 13 (신림동),건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25하-6(조치필요) 1층 외부 통행로(차도) 바닥 균열 및 파손,http://openapi.kspo.or.kr/web/ai/,256_A64EF14A194C8472DBE2DF4AD11D1102.jpg,jpg,217,290
257,통행로,2025-08-27,충청북도,진천군,전천후게이트볼장,광혜원게이트볼장,충청북도 진천군 광혜원면 광혜원산단2길 135,건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25하-1(조치필요) 외부 좌측면 배수로 파손,http://openapi.kspo.or.kr/web/ai/,257_F32C6A21E16778499736CB4D76B1015F.png,png,447,272
258,통행로,2025-09-04,경상남도,사천시,육상경기장,삼천포종합운동장,경상남도 사천시 주공로 32 (벌리동),건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25상-2(조치필요) 1층 주출입구 바닥 아스콘 균열 다수 발생,http://openapi.kspo.or.kr/web/ai/,258_8AE9929E0650C265A131A8A4FEB05BAD.jpg,jpg,390,292
259,통행로,2025-09-12,서울특별시,서초구,체육관,언남문화체육센터,서울특별시 서초구 동산로13길 35 (양재동),건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25하-3(조치필요) 지상1층 정문 출입구 근처 보도 블럭 침하,http://openapi.kspo.or.kr/web/ai/,259_D97BD1AB2935E181C95239FADE4FC2A2.jpg,jpg,218,291
260,통행로,2025-07-17,경기도,구리시,체육관,구리시체육관,교문동 3-2번지 일원,건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25하-6(조치필요) 건물 주변 보행로 균열 다수,http://openapi.kspo.or.kr/web/ai/,260_559A68DE9DA4E34CB6B0705C52014F6B.jpg,jpg,209,279
261,통행로,2025-07-30,광주광역시,서구,육상경기장,광주월드컵경기장주경기장,광주광역시 서구 금화로 240 (풍암동),건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25하-1(조치필요) NG4 출입구측 계단파손,http://openapi.kspo.or.kr/web/ai/,261_86218C4C5597491229D19B5003EAAF5C.jpg,jpg,373,280
262,통행로,2025-09-11,전라남도,완도군,전천후게이트볼장,신지전천후게이트볼장,전라남도 완도군 신지면 신지로 567,건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25상-7 (조치필요) 외부 통행로(인도) 보도블럭 파손,http://openapi.kspo.or.kr/web/ai/,262_DAF54C0C0BF15E57D45BC4FEC22BC749.jpg,jpg,373,279
263,통행로,2025-09-11,전라남도,완도군,전천후게이트볼장,신지전천후게이트볼장,전라남도 완도군 신지면 신지로 567,건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25상-8 (조치필요) 외부 통행로(인도) 보도블럭 파손,http://openapi.kspo.or.kr/web/ai/,263_C85EA90E1BA8BD5443DB381DBD2D7EB6.jpg,jpg,371,278
264,통행로,2025-08-07,경상남도,거제시,육상경기장,아주운동장,경상남도 거제시 아주로3길 55-1 (아주동),건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25하-2(조치필요) 본부석 외부 출입구 방향 보도 블록 침하,http://openapi.kspo.or.kr/web/ai/,264_531800E55B5A96C93C0950E16B1DB4D4.png,png,471,281
265,통행로,2025-07-23,경기도,남양주시,축구장,오남체육공원축구장,경기도 남양주시 오남읍 양지로 156-19,건물주변,통행로,"통행로(보행로, 차도) 시설 위험물 및 안전상태",25하-3(조치필요) 축구장 주변 보행로 아스팔트 균열 다수,http://openapi.kspo.or.kr/web/ai/,265_8D4A16B095F1EF95FFB564F72D2BF0B6.jpg,jpg,221,295
